"region","vaccine","year","coverage"
"South Asia","hepb3","2018.0","87.0"
"South Asia","hepbb","2018.0","38.0"
"South Asia","hib3","2018.0","87.0"
"South Asia","ipv1","2018.0","74.0"
"South Asia","mcv1","2018.0","87.0"
"South Asia","mcv2","2018.0","78.0"
"South Asia","pcv3","2018.0","29.0"
"South Asia","pol3","2018.0","87.0"
"South Asia","rcv1","2018.0","73.0"
"South Asia","rotac","2018.0","36.0"
"West & Central Africa","bcg","2018.0","73.0"
"West & Central Africa","dtp1","2018.0","79.0"
"West & Central Africa","dtp3","2018.0","70.0"
"West & Central Africa","hepb3","2018.0","70.0"
"West & Central Africa","hepbb","2018.0","2.0"
"West & Central Africa","hib3","2018.0","70.0"
"West & Central Africa","ipv1","2018.0","63.0"
"West & Central Africa","mcv1","2018.0","71.0"
"West & Central Africa","mcv2","2018.0","12.0"
"West & Central Africa","pcv3","2018.0","67.0"
"West & Central Africa","pol3","2018.0","70.0"
"West & Central Africa","rcv1","2018.0","19.0"
"West & Central Africa","rotac","2018.0","28.0"
"West & Central Africa","yfv","2018.0","71.0"
"Western Europe","bcg","2018.0","69.0"
"Western Europe","dtp1","2018.0","98.0"
"Western Europe","dtp3","2018.0","95.0"
"Western Europe","hepb3","2018.0","71.0"
"Western Europe","hepbb","2018.0","9.0"
"Western Europe","hib3","2018.0","94.0"
"Western Europe","mcv1","2018.0","94.0"
"Western Europe","mcv2","2018.0","88.0"
"Western Europe","pcv3","2018.0","84.0"
"Western Europe","pol3","2018.0","94.0"
"Western Europe","rcv1","2018.0","94.0"
"Western Europe","rotac","2018.0","35.0"
"Global","bcg","2017.0","89.0"
"Global","dtp1","2017.0","91.0"
"Global","dtp3","2017.0","86.0"
"Global","hepb3","2017.0","84.0"
"Global","hepbb","2017.0","41.0"
"Global","hib3","2017.0","72.0"
"Global","ipv1","2017.0","58.0"
"Global","mcv1","2017.0","86.0"
"Global","mcv2","2017.0","68.0"
"Global","pcv3","2017.0","45.0"
"Global","pol3","2017.0","86.0"
"Global","rcv1","2017.0","52.0"
"Global","rotac","2017.0","28.0"
"Global","yfv","2017.0","48.0"
"East Asia & Pacific","bcg","2017.0","94.0"
"East Asia & Pacific","dtp1","2017.0","94.0"
"East Asia & Pacific","dtp3","2017.0","93.0"
"East Asia & Pacific","hepb3","2017.0","90.0"
"East Asia & Pacific","hepbb","2017.0","74.0"
"East Asia & Pacific","hib3","2017.0","36.0"
"East Asia & Pacific","ipv1","2017.0","75.0"
"East Asia & Pacific","mcv1","2017.0","92.0"
"East Asia & Pacific","mcv2","2017.0","87.0"
"East Asia & Pacific","pcv3","2017.0","13.0"
"East Asia & Pacific","pol3","2017.0","93.0"
"East Asia & Pacific","rcv1","2017.0","81.0"
"East Asia & Pacific","rotac","2017.0","1.0"
"Eastern & Southern Africa","bcg","2017.0","86.0"
"Eastern & Southern Africa","dtp1","2017.0","88.0"
"Eastern & Southern Africa","dtp3","2017.0","81.0"
"Eastern & Southern Africa","hepb3","2017.0","81.0"
"Eastern & Southern Africa","hepbb","2017.0","0.0"
"Eastern & Southern Africa","hib3","2017.0","81.0"
"Eastern & Southern Africa","ipv1","2017.0","36.0"
"Eastern & Southern Africa","mcv1","2017.0","77.0"
"Eastern & Southern Africa","mcv2","2017.0","37.0"
"Eastern & Southern Africa","pcv3","2017.0","76.0"
"Eastern & Southern Africa","pol3","2017.0","80.0"
"Eastern & Southern Africa","rcv1","2017.0","32.0"
"Eastern & Southern Africa","rotac","2017.0","70.0"
"Eastern & Southern Africa","yfv","2017.0","4.0"
"Eastern Europe & Central Asia","bcg","2017.0","95.0"
"Eastern Europe & Central Asia","dtp1","2017.0","95.0"
"Eastern Europe & Central Asia","dtp3","2017.0","93.0"
"Eastern Europe & Central Asia","hepb3","2017.0","93.0"
"Eastern Europe & Central Asia","hepbb","2017.0","62.0"
"Eastern Europe & Central Asia","hib3","2017.0","61.0"
"Eastern Europe & Central Asia","ipv1","2017.0","70.0"
"Eastern Europe & Central Asia","mcv1","2017.0","96.0"
"Eastern Europe & Central Asia","mcv2","2017.0","93.0"
"Eastern Europe & Central Asia","pcv3","2017.0","67.0"
"Eastern Europe & Central Asia","pol3","2017.0","93.0"
"Eastern Europe & Central Asia","rcv1","2017.0","96.0"
"Eastern Europe & Central Asia","rotac","2017.0","17.0"
"Latin America & Caribbean","bcg","2017.0","91.0"
"Latin America & Caribbean","dtp1","2017.0","95.0"
"Latin America & Caribbean","dtp3","2017.0","86.0"
"Latin America & Caribbean","hepb3","2017.0","81.0"
"Latin America & Caribbean","hepbb","2017.0","71.0"
"Latin America & Caribbean","hib3","2017.0","87.0"
"Latin America & Caribbean","ipv1","2017.0","92.0"
"Latin America & Caribbean","mcv1","2017.0","87.0"
"Latin America & Caribbean","mcv2","2017.0","69.0"
"Latin America & Caribbean","pcv3","2017.0","78.0"
"Latin America & Caribbean","pol3","2017.0","82.0"
"Latin America & Caribbean","rcv1","2017.0","87.0"
"Latin America & Caribbean","rotac","2017.0","69.0"
"Latin America & Caribbean","yfv","2017.0","59.0"
"Middle East & North Africa","bcg","2017.0","91.0"
"Middle East & North Africa","dtp1","2017.0","93.0"
"Middle East & North Africa","dtp3","2017.0","90.0"
"Middle East & North Africa","hepb3","2017.0","90.0"
"Middle East & North Africa","hepbb","2017.0","67.0"
"Middle East & North Africa","hib3","2017.0","90.0"
"Middle East & North Africa","ipv1","2017.0","46.0"
"Middle East & North Africa","mcv1","2017.0","90.0"
"Middle East & North Africa","mcv2","2017.0","89.0"
"Middle East & North Africa","pcv3","2017.0","39.0"
"Middle East & North Africa","pol3","2017.0","90.0"
"Middle East & North Africa","rcv1","2017.0","91.0"
"Middle East & North Africa","rotac","2017.0","32.0"
"North America","dtp1","2017.0","98.0"
"North America","dtp3","2017.0","95.0"
"North America","hepb3","2017.0","91.0"
"North America","hepbb","2017.0","58.0"
"North America","hib3","2017.0","93.0"
"North America","mcv1","2017.0","92.0"
"North America","mcv2","2017.0","93.0"
"North America","pcv3","2017.0","92.0"
"North America","pol3","2017.0","94.0"
"North America","rcv1","2017.0","92.0"
"North America","rotac","2017.0","74.0"
"South Asia","bcg","2017.0","91.0"
"South Asia","dtp1","2017.0","91.0"
"South Asia","dtp3","2017.0","87.0"
"South Asia","hepb3","2017.0","87.0"
"South Asia","hepbb","2017.0","38.0"
"South Asia","hib3","2017.0","87.0"
"South Asia","ipv1","2017.0","50.0"
"South Asia","mcv1","2017.0","88.0"
"South Asia","mcv2","2017.0","78.0"
"South Asia","pcv3","2017.0","25.0"
"South Asia","pol3","2017.0","87.0"
"South Asia","rcv1","2017.0","15.0"
"South Asia","rotac","2017.0","11.0"
"West & Central Africa","bcg","2017.0","73.0"
"West & Central Africa","dtp1","2017.0","80.0"
"West & Central Africa","dtp3","2017.0","71.0"
"West & Central Africa","hepb3","2017.0","71.0"
"West & Central Africa","hepbb","2017.0","2.0"
"West & Central Africa","hib3","2017.0","71.0"
"West & Central Africa","ipv1","2017.0","49.0"
"West & Central Africa","mcv1","2017.0","72.0"
"West & Central Africa","mcv2","2017.0","12.0"
"West & Central Africa","pcv3","2017.0","68.0"
"West & Central Africa","pol3","2017.0","70.0"
"West & Central Africa","rcv1","2017.0","14.0"
"West & Central Africa","rotac","2017.0","28.0"
"West & Central Africa","yfv","2017.0","68.0"
"Western Europe","bcg","2017.0","68.0"
"Western Europe","dtp1","2017.0","98.0"
"Western Europe","dtp3","2017.0","95.0"
"Western Europe","hepb3","2017.0","70.0"
"Western Europe","hepbb","2017.0","9.0"
"Western Europe","hib3","2017.0","94.0"
"Western Europe","mcv1","2017.0","94.0"
"Western Europe","mcv2","2017.0","88.0"
"Western Europe","pcv3","2017.0","80.0"
"Western Europe","pol3","2017.0","94.0"
"Western Europe","rcv1","2017.0","94.0"
"Western Europe","rotac","2017.0","33.0"
"Global","bcg","2016.0","89.0"
"Global","dtp1","2016.0","91.0"
"Global","dtp3","2016.0","86.0"
"Global","hepb3","2016.0","85.0"
"Global","hepbb","2016.0","37.0"
"Global","hib3","2016.0","71.0"
"Global","ipv1","2016.0","47.0"
"Global","mcv1","2016.0","86.0"
"Global","mcv2","2016.0","67.0"
"Global","pcv3","2016.0","43.0"
"Global","pol3","2016.0","85.0"
"Global","rcv1","2016.0","48.0"
"Global","rotac","2016.0","25.0"
"Global","yfv","2016.0","46.0"
"East Asia & Pacific","bcg","2016.0","95.0"
"East Asia & Pacific","dtp1","2016.0","95.0"
"East Asia & Pacific","dtp3","2016.0","94.0"
"East Asia & Pacific","hepb3","2016.0","91.0"
"East Asia & Pacific","hepbb","2016.0","66.0"
"East Asia & Pacific","hib3","2016.0","37.0"
"East Asia & Pacific","ipv1","2016.0","20.0"
"East Asia & Pacific","mcv1","2016.0","93.0"
"East Asia & Pacific","mcv2","2016.0","86.0"
"East Asia & Pacific","pcv3","2016.0","10.0"
"East Asia & Pacific","pol3","2016.0","93.0"
"East Asia & Pacific","rcv1","2016.0","80.0"
"East Asia & Pacific","rotac","2016.0","1.0"
"Eastern & Southern Africa","bcg","2016.0","86.0"
"Eastern & Southern Africa","dtp1","2016.0","89.0"
"Eastern & Southern Africa","dtp3","2016.0","81.0"
"Eastern & Southern Africa","hepb3","2016.0","81.0"
"Eastern & Southern Africa","hepbb","2016.0","0.0"
"Eastern & Southern Africa","hib3","2016.0","81.0"
"Eastern & Southern Africa","ipv1","2016.0","30.0"
"Eastern & Southern Africa","mcv1","2016.0","77.0"
"Eastern & Southern Africa","mcv2","2016.0","34.0"
"Eastern & Southern Africa","pcv3","2016.0","76.0"
"Eastern & Southern Africa","pol3","2016.0","81.0"
"Eastern & Southern Africa","rcv1","2016.0","15.0"
"Eastern & Southern Africa","rotac","2016.0","69.0"
"Eastern & Southern Africa","yfv","2016.0","3.0"
"Eastern Europe & Central Asia","bcg","2016.0","95.0"
"Eastern Europe & Central Asia","dtp1","2016.0","93.0"
"Eastern Europe & Central Asia","dtp3","2016.0","90.0"
"Eastern Europe & Central Asia","hepb3","2016.0","91.0"
"Eastern Europe & Central Asia","hepbb","2016.0","62.0"
"Eastern Europe & Central Asia","hib3","2016.0","61.0"
"Eastern Europe & Central Asia","ipv1","2016.0","72.0"
"Eastern Europe & Central Asia","mcv1","2016.0","93.0"
"Eastern Europe & Central Asia","mcv2","2016.0","88.0"
"Eastern Europe & Central Asia","pcv3","2016.0","55.0"
"Eastern Europe & Central Asia","pol3","2016.0","93.0"
"Eastern Europe & Central Asia","rcv1","2016.0","93.0"
"Eastern Europe & Central Asia","rotac","2016.0","17.0"
"Latin America & Caribbean","bcg","2016.0","93.0"
"Latin America & Caribbean","dtp1","2016.0","95.0"
"Latin America & Caribbean","dtp3","2016.0","89.0"
"Latin America & Caribbean","hepb3","2016.0","89.0"
"Latin America & Caribbean","hepbb","2016.0","67.0"
"Latin America & Caribbean","hib3","2016.0","89.0"
"Latin America & Caribbean","ipv1","2016.0","85.0"
"Latin America & Caribbean","mcv1","2016.0","92.0"
"Latin America & Caribbean","mcv2","2016.0","74.0"
"Latin America & Caribbean","pcv3","2016.0","78.0"
"Latin America & Caribbean","pol3","2016.0","85.0"
"Latin America & Caribbean","rcv1","2016.0","92.0"
"Latin America & Caribbean","rotac","2016.0","76.0"
"Latin America & Caribbean","yfv","2016.0","53.0"
"Middle East & North Africa","bcg","2016.0","94.0"
"Middle East & North Africa","dtp1","2016.0","93.0"
"Middle East & North Africa","dtp3","2016.0","89.0"
"Middle East & North Africa","hepb3","2016.0","89.0"
"Middle East & North Africa","hepbb","2016.0","45.0"
"Middle East & North Africa","hib3","2016.0","89.0"
"Middle East & North Africa","ipv1","2016.0","46.0"
"Middle East & North Africa","mcv1","2016.0","91.0"
"Middle East & North Africa","mcv2","2016.0","89.0"
"Middle East & North Africa","pcv3","2016.0","32.0"
"Middle East & North Africa","pol3","2016.0","89.0"
"Middle East & North Africa","rcv1","2016.0","81.0"
"Middle East & North Africa","rotac","2016.0","29.0"
"North America","dtp1","2016.0","98.0"
"North America","dtp3","2016.0","95.0"
"North America","hepb3","2016.0","91.0"
"North America","hepbb","2016.0","58.0"
"North America","hib3","2016.0","93.0"
"North America","mcv1","2016.0","92.0"
"North America","mcv2","2016.0","93.0"
"North America","pcv3","2016.0","92.0"
"North America","pol3","2016.0","94.0"
"North America","rcv1","2016.0","92.0"
"North America","rotac","2016.0","66.0"
"South Asia","bcg","2016.0","89.0"
"South Asia","dtp1","2016.0","90.0"
"South Asia","dtp3","2016.0","86.0"
"South Asia","hepb3","2016.0","86.0"
"South Asia","hepbb","2016.0","33.0"
"South Asia","hib3","2016.0","81.0"
"South Asia","ipv1","2016.0","47.0"
"South Asia","mcv1","2016.0","86.0"
"South Asia","mcv2","2016.0","74.0"
"South Asia","pcv3","2016.0","24.0"
"South Asia","pol3","2016.0","85.0"
"South Asia","rcv1","2016.0","11.0"
"South Asia","rotac","2016.0","3.0"
"West & Central Africa","bcg","2016.0","74.0"
"West & Central Africa","dtp1","2016.0","79.0"
"West & Central Africa","dtp3","2016.0","70.0"
"West & Central Africa","hepb3","2016.0","70.0"
"West & Central Africa","hepbb","2016.0","2.0"
"West & Central Africa","hib3","2016.0","70.0"
"West & Central Africa","ipv1","2016.0","50.0"
"West & Central Africa","mcv1","2016.0","71.0"
"West & Central Africa","mcv2","2016.0","11.0"
"West & Central Africa","pcv3","2016.0","66.0"
"West & Central Africa","pol3","2016.0","69.0"
"West & Central Africa","rcv1","2016.0","10.0"
"West & Central Africa","rotac","2016.0","25.0"
"West & Central Africa","yfv","2016.0","66.0"
"Western Europe","bcg","2016.0","71.0"
"Western Europe","dtp1","2016.0","98.0"
"Western Europe","dtp3","2016.0","95.0"
"Western Europe","hepb3","2016.0","70.0"
"Western Europe","hepbb","2016.0","9.0"
"Western Europe","hib3","2016.0","95.0"
"Western Europe","mcv1","2016.0","94.0"
"Western Europe","mcv2","2016.0","87.0"
"Western Europe","pcv3","2016.0","71.0"
"Western Europe","pol3","2016.0","95.0"
"Western Europe","rcv1","2016.0","94.0"
"Western Europe","rotac","2016.0","30.0"
"Global","bcg","2015.0","88.0"
"Global","dtp1","2015.0","90.0"
"Global","dtp3","2015.0","85.0"
"Global","hepb3","2015.0","83.0"
"Global","hepbb","2015.0","37.0"
"Global","hib3","2015.0","63.0"
"Global","ipv1","2015.0","23.0"
"Global","mcv1","2015.0","85.0"
"Global","mcv2","2015.0","63.0"
"Global","pcv3","2015.0","38.0"
"Global","pol3","2015.0","85.0"
"Global","rcv1","2015.0","47.0"
"Global","rotac","2015.0","23.0"
"Global","yfv","2015.0","42.0"
"East Asia & Pacific","bcg","2015.0","94.0"
"East Asia & Pacific","dtp1","2015.0","94.0"
"East Asia & Pacific","dtp3","2015.0","92.0"
"East Asia & Pacific","hepb3","2015.0","89.0"
"East Asia & Pacific","hepbb","2015.0","66.0"
"East Asia & Pacific","hib3","2015.0","35.0"
"East Asia & Pacific","ipv1","2015.0","4.0"
"East Asia & Pacific","mcv1","2015.0","93.0"
"East Asia & Pacific","mcv2","2015.0","82.0"
"East Asia & Pacific","pcv3","2015.0","8.0"
"East Asia & Pacific","pol3","2015.0","94.0"
"East Asia & Pacific","rcv1","2015.0","78.0"
"East Asia & Pacific","rotac","2015.0","1.0"
"Eastern & Southern Africa","bcg","2015.0","86.0"
"Eastern & Southern Africa","dtp1","2015.0","89.0"
"Eastern & Southern Africa","dtp3","2015.0","81.0"
"Eastern & Southern Africa","hepb3","2015.0","81.0"
"Eastern & Southern Africa","hepbb","2015.0","0.0"
"Eastern & Southern Africa","hib3","2015.0","81.0"
"Eastern & Southern Africa","ipv1","2015.0","13.0"
"Eastern & Southern Africa","mcv1","2015.0","79.0"
"Eastern & Southern Africa","mcv2","2015.0","26.0"
"Eastern & Southern Africa","pcv3","2015.0","73.0"
"Eastern & Southern Africa","pol3","2015.0","82.0"
"Eastern & Southern Africa","rcv1","2015.0","13.0"
"Eastern & Southern Africa","rotac","2015.0","65.0"
"Eastern & Southern Africa","yfv","2015.0","5.0"
"Eastern Europe & Central Asia","bcg","2015.0","92.0"
"Eastern Europe & Central Asia","dtp1","2015.0","95.0"
"Eastern Europe & Central Asia","dtp3","2015.0","91.0"
"Eastern Europe & Central Asia","hepb3","2015.0","91.0"
"Eastern Europe & Central Asia","hepbb","2015.0","64.0"
"Eastern Europe & Central Asia","hib3","2015.0","61.0"
"Eastern Europe & Central Asia","ipv1","2015.0","68.0"
"Eastern Europe & Central Asia","mcv1","2015.0","94.0"
"Eastern Europe & Central Asia","mcv2","2015.0","90.0"
"Eastern Europe & Central Asia","pcv3","2015.0","30.0"
"Eastern Europe & Central Asia","pol3","2015.0","93.0"
"Eastern Europe & Central Asia","rcv1","2015.0","94.0"
"Eastern Europe & Central Asia","rotac","2015.0","16.0"
"Latin America & Caribbean","bcg","2015.0","96.0"
"Latin America & Caribbean","dtp1","2015.0","96.0"
"Latin America & Caribbean","dtp3","2015.0","90.0"
"Latin America & Caribbean","hepb3","2015.0","89.0"
"Latin America & Caribbean","hepbb","2015.0","70.0"
"Latin America & Caribbean","hib3","2015.0","90.0"
"Latin America & Caribbean","ipv1","2015.0","62.0"
"Latin America & Caribbean","mcv1","2015.0","93.0"
"Latin America & Caribbean","mcv2","2015.0","71.0"
"Latin America & Caribbean","pcv3","2015.0","82.0"
"Latin America & Caribbean","pol3","2015.0","91.0"
"Latin America & Caribbean","rcv1","2015.0","93.0"
"Latin America & Caribbean","rotac","2015.0","80.0"
"Latin America & Caribbean","yfv","2015.0","55.0"
"Middle East & North Africa","bcg","2015.0","91.0"
"Middle East & North Africa","dtp1","2015.0","92.0"
"Middle East & North Africa","dtp3","2015.0","88.0"
"Middle East & North Africa","hepb3","2015.0","88.0"
"Middle East & North Africa","hepbb","2015.0","44.0"
"Middle East & North Africa","hib3","2015.0","88.0"
"Middle East & North Africa","ipv1","2015.0","27.0"
"Middle East & North Africa","mcv1","2015.0","89.0"
"Middle East & North Africa","mcv2","2015.0","86.0"
"Middle East & North Africa","pcv3","2015.0","25.0"
"Middle East & North Africa","pol3","2015.0","88.0"
"Middle East & North Africa","rcv1","2015.0","79.0"
"Middle East & North Africa","rotac","2015.0","27.0"
"North America","dtp1","2015.0","98.0"
"North America","dtp3","2015.0","95.0"
"North America","hepb3","2015.0","90.0"
"North America","hepbb","2015.0","66.0"
"North America","hib3","2015.0","93.0"
"North America","mcv1","2015.0","92.0"
"North America","mcv2","2015.0","92.0"
"North America","pcv3","2015.0","92.0"
"North America","pol3","2015.0","93.0"
"North America","rcv1","2015.0","92.0"
"North America","rotac","2015.0","66.0"
"South Asia","bcg","2015.0","88.0"
"South Asia","dtp1","2015.0","89.0"
"South Asia","dtp3","2015.0","85.0"
"South Asia","hepb3","2015.0","85.0"
"South Asia","hepbb","2015.0","31.0"
"South Asia","hib3","2015.0","56.0"
"South Asia","ipv1","2015.0","10.0"
"South Asia","mcv1","2015.0","85.0"
"South Asia","mcv2","2015.0","67.0"
"South Asia","pcv3","2015.0","19.0"
"South Asia","pol3","2015.0","84.0"
"South Asia","rcv1","2015.0","11.0"
"South Asia","rotac","2015.0","0.0"
"West & Central Africa","bcg","2015.0","73.0"
"West & Central Africa","dtp1","2015.0","74.0"
"West & Central Africa","dtp3","2015.0","65.0"
"West & Central Africa","hepb3","2015.0","64.0"
"West & Central Africa","hepbb","2015.0","0.0"
"West & Central Africa","hib3","2015.0","64.0"
"West & Central Africa","ipv1","2015.0","32.0"
"West & Central Africa","mcv1","2015.0","63.0"
"West & Central Africa","mcv2","2015.0","9.0"
"West & Central Africa","pcv3","2015.0","55.0"
"West & Central Africa","pol3","2015.0","63.0"
"West & Central Africa","rcv1","2015.0","9.0"
"West & Central Africa","rotac","2015.0","21.0"
"West & Central Africa","yfv","2015.0","58.0"
"Western Europe","bcg","2015.0","71.0"
"Western Europe","dtp1","2015.0","98.0"
"Western Europe","dtp3","2015.0","96.0"
"Western Europe","hepb3","2015.0","70.0"
"Western Europe","hepbb","2015.0","9.0"
"Western Europe","hib3","2015.0","95.0"
"Western Europe","mcv1","2015.0","94.0"
"Western Europe","mcv2","2015.0","86.0"
"Western Europe","pcv3","2015.0","69.0"
"Western Europe","pol3","2015.0","95.0"
"Western Europe","rcv1","2015.0","94.0"
"Western Europe","rotac","2015.0","30.0"
"Global","bcg","2014.0","88.0"
"Global","dtp1","2014.0","89.0"
"Global","dtp3","2014.0","84.0"
"Global","hepb3","2014.0","81.0"
"Global","hepbb","2014.0","35.0"
"Global","hib3","2014.0","55.0"
"Global","mcv1","2014.0","84.0"
"Global","mcv2","2014.0","59.0"
"Global","pcv3","2014.0","32.0"
"Global","pol3","2014.0","85.0"
"Global","rcv1","2014.0","45.0"
"Global","rotac","2014.0","19.0"
"Global","yfv","2014.0","43.0"
"East Asia & Pacific","bcg","2014.0","94.0"
"East Asia & Pacific","dtp1","2014.0","95.0"
"East Asia & Pacific","dtp3","2014.0","92.0"
"East Asia & Pacific","hepb3","2014.0","89.0"
"East Asia & Pacific","hepbb","2014.0","64.0"
"East Asia & Pacific","hib3","2014.0","28.0"
"East Asia & Pacific","mcv1","2014.0","93.0"
"East Asia & Pacific","mcv2","2014.0","82.0"
"East Asia & Pacific","pcv3","2014.0","7.0"
"East Asia & Pacific","pol3","2014.0","93.0"
"East Asia & Pacific","rcv1","2014.0","71.0"
"East Asia & Pacific","rotac","2014.0","1.0"
"Eastern & Southern Africa","bcg","2014.0","85.0"
"Eastern & Southern Africa","dtp1","2014.0","87.0"
"Eastern & Southern Africa","dtp3","2014.0","79.0"
"Eastern & Southern Africa","hepb3","2014.0","78.0"
"Eastern & Southern Africa","hepbb","2014.0","0.0"
"Eastern & Southern Africa","hib3","2014.0","78.0"
"Eastern & Southern Africa","mcv1","2014.0","77.0"
"Eastern & Southern Africa","mcv2","2014.0","15.0"
"Eastern & Southern Africa","pcv3","2014.0","69.0"
"Eastern & Southern Africa","pol3","2014.0","80.0"
"Eastern & Southern Africa","rcv1","2014.0","11.0"
"Eastern & Southern Africa","rotac","2014.0","50.0"
"Eastern & Southern Africa","yfv","2014.0","5.0"
"Eastern Europe & Central Asia","bcg","2014.0","92.0"
"Eastern Europe & Central Asia","dtp1","2014.0","94.0"
"Eastern Europe & Central Asia","dtp3","2014.0","91.0"
"Eastern Europe & Central Asia","hepb3","2014.0","91.0"
"Eastern Europe & Central Asia","hepbb","2014.0","64.0"
"Eastern Europe & Central Asia","hib3","2014.0","61.0"
"Eastern Europe & Central Asia","mcv1","2014.0","93.0"
"Eastern Europe & Central Asia","mcv2","2014.0","91.0"
"Eastern Europe & Central Asia","pcv3","2014.0","27.0"
"Eastern Europe & Central Asia","pol3","2014.0","92.0"
"Eastern Europe & Central Asia","rcv1","2014.0","93.0"
"Eastern Europe & Central Asia","rotac","2014.0","7.0"
"Latin America & Caribbean","bcg","2014.0","96.0"
"Latin America & Caribbean","dtp1","2014.0","95.0"
"Latin America & Caribbean","dtp3","2014.0","89.0"
"Latin America & Caribbean","hepb3","2014.0","89.0"
"Latin America & Caribbean","hepbb","2014.0","67.0"
