East Asia & Pacific,bcg,1980,16
East Asia & Pacific,bcg,1981,20
East Asia & Pacific,bcg,1982,21
East Asia & Pacific,bcg,1983,42
East Asia & Pacific,bcg,1984,59
East Asia & Pacific,bcg,1985,64
East Asia & Pacific,bcg,1986,68
East Asia & Pacific,bcg,1987,80
East Asia & Pacific,bcg,1988,91
East Asia & Pacific,bcg,1989,92
East Asia & Pacific,bcg,1990,94
East Asia & Pacific,bcg,1991,92
East Asia & Pacific,bcg,1992,90
East Asia & Pacific,bcg,1993,89
East Asia & Pacific,bcg,1994,87
East Asia & Pacific,bcg,1995,81
East Asia & Pacific,bcg,1996,86
East Asia & Pacific,bcg,1997,85
East Asia & Pacific,bcg,1998,85
East Asia & Pacific,bcg,1999,85
East Asia & Pacific,bcg,2000,85
East Asia & Pacific,bcg,2001,85
East Asia & Pacific,bcg,2002,85
East Asia & Pacific,bcg,2003,86
East Asia & Pacific,bcg,2004,87
East Asia & Pacific,bcg,2005,87
East Asia & Pacific,bcg,2006,91
East Asia & Pacific,bcg,2007,92
East Asia & Pacific,bcg,2008,93
East Asia & Pacific,bcg,2009,94
East Asia & Pacific,bcg,2010,95
East Asia & Pacific,bcg,2011,98
East Asia & Pacific,bcg,2012,96
East Asia & Pacific,bcg,2013,95
East Asia & Pacific,bcg,2014,94
East Asia & Pacific,bcg,2015,94
East Asia & Pacific,bcg,2016,95
East Asia & Pacific,bcg,2017,94
East Asia & Pacific,bcg,2018,93
East Asia & Pacific,dtp1,1980,14
East Asia & Pacific,dtp1,1981,19
East Asia & Pacific,dtp1,1982,18
East Asia & Pacific,dtp1,1983,68
East Asia & Pacific,dtp1,1984,77
East Asia & Pacific,dtp1,1985,83
East Asia & Pacific,dtp1,1986,86
East Asia & Pacific,dtp1,1987,86
East Asia & Pacific,dtp1,1988,92
East Asia & Pacific,dtp1,1989,94
East Asia & Pacific,dtp1,1990,95
East Asia & Pacific,dtp1,1991,94
East Asia & Pacific,dtp1,1992,94
East Asia & Pacific,dtp1,1993,93
East Asia & Pacific,dtp1,1994,93
East Asia & Pacific,dtp1,1995,91
East Asia & Pacific,dtp1,1996,92
East Asia & Pacific,dtp1,1997,92
East Asia & Pacific,dtp1,1998,92
